Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2017-03-29,0.00258042,0.032147001,0.00365436,0.008969027,8.18584E-08,0.034227975,0.042282689,0.024145906
2017-03-30,-0.003873202,0.015793116,-0.004701026,-0.01283744,-0.004796186,-0.004742783,-0.014434854,-0.023127992
2017-03-31,-0.003888499,-0.004282342,0,0.005925649,0.015503765,0.014682447,0.016025984,-0.003056207
2017-04-03,-0.004229857,-0.00516354,-0.004722982,0.004357346,-0.017910636,-0.007314074,-0.016025984,-0.017499599
2017-04-04,0.006176377,-0.000287552,0.005769813,0.010937383,0.008995784,0.027413107,0.022365109,0.01647831
2017-04-05,-0.002920988,0.003446385,0.006256277,-0.016065604,-0.00358933,-0.016980015,0.001578572,-0.005120461
2017-04-06,0.004539558,0.010552031,0.005183857,0.012771532,0.007164846,0.006207871,0.026460641,0.009197958
2017-04-07,0.001293058,-0.002272215,0.003097935,-0.009178944,-0.002978953,-0.000515947,-0.018605141,-0.00714686
2017-04-10,0.005478131,0.020265258,0.008213606,0.00790933,0.01715485,0.037473072,0.029300499,0.045075424
2017-04-11,-0.003863649,0.001113724,0.001532182,0.002537795,0.006430981,0.005452177,0.012084671,0.008776152
2017-04-12,0.001933549,0.002501778,-0.003579449,-0.011472241,-0.005844511,-0.003962502,-0.024317285,-0.016642379
2017-04-13,-0.004194281,0.000277841,-0.002564628,-0.023085079,-0.014762367,-0.016512824,-0.039220713,-0.024988639
2017-04-17,0.001938299,-0.020469476,0.000513242,0.007580759,0.00947324,-0.007088691,-0.01288261,0.02892955
2017-04-18,-0.000645935,0.006494838,0.001539116,-0.008630905,-0.007690184,0.014127551,-0.011410083,-0.009881614
2017-04-19,-0.002910267,-0.015315444,-0.016537943,-0.042114199,-0.015559926,-0.019221524,-0.021541827,-0.044677441
2017-04-20,0.009026574,-0.018459828,-0.013113117,-0.00411802,-0.061567824,0.001020833,-0.025446665,-0.010438891
2017-04-21,-0.002100105,0.011577374,0.003689109,-0.001376568,-0.018123044,0.000510092,0.001716704,-0.00420586
2017-04-24,-0.001294728,0.013150606,-0.00263402,-0.024823374,-0.009186421,0.023186491,-0.033132891,-0.018076041
2017-04-25,-0.003243368,0.014381006,0.000527459,-0.016802437,0.026668029,-0.005997618,-0.017889564,-0.005378832
2017-04-26,-0.004558498,-0.06533322,-0.009001929,0.00743919,0.001927372,0.033032994,0.012556165,-0.015217548
2017-04-27,-0.003596649,0.000299527,-0.019877062,-0.018122111,-0.036605571,-0.008767959,-0.014362895,-0.030086025
2017-04-28,0.001963269,-0.029129137,0.004331402,-0.005822438,-0.003334062,-0.008351655,-0.018248682,0.005640214
2017-05-01,0.010729973,0.006139091,0.001619196,-0.010566691,-0.00872216,-0.012910204,-0.039441694,-0.012450503
2017-05-02,0.018584526,-0.012005625,0.007523209,-0.007998857,0,0.001498245,-0.005763695,-0.006857132
2017-05-03,-0.003498701,-0.010272477,-0.010223328,0.01476266,0.00067377,0.022695027,-0.005797176,0.03493315
2017-05-04,-0.007995756,-0.01449758,-0.040844533,-0.001760066,-0.016978317,-0.026193569,-0.045597583,-0.003327982
2017-05-05,0.005443933,-0.002542836,0.022835753,0.008478394,0.016978317,0.006985914,0.049466069,0.008849429
2017-05-08,0.01080086,-0.028080181,0.01421564,0.014164154,0.009383513,0.009403565,0.001928689,0.019629483
2017-05-09,-0.013358838,0,0.009186701,-0.013000381,0.001333252,-0.01538883,-0.029327614,-0.011949767
2017-05-10,0.005109801,0.030305507,0.017066766,-0.022049967,0.017173325,0.024704728,0.037005147,0.048009042
2017-05-11,-0.01962392,-0.029977895,-0.032243032,-0.032631217,-0.017839638,-0.025205185,-0.005752633,0.008299153
2017-05-12,0.004538095,-0.153932776,0.00924138,-0.027398924,-0.010050452,0.004992569,-0.027292172,-0.011429097
2017-05-15,0.005161322,-0.102395833,0.017167908,0.028933311,0.014042138,0.008430539,0.051984766,0.029852882
2017-05-16,-0.001932099,-0.016198145,-0.002663147,-0.011721358,-0.012024005,0.005417588,-0.01893996,0.012096863
2017-05-17,-0.012652535,-0.011671224,-0.016671548,-0.023018488,-0.012850898,-0.016341232,-0.027133399,0.003001931
